"","WT.U.1","WT.U.2","WT.U.3","KO.U.1","KO.U.2","KO.U.3","WT.I.1","WT.I.2","WT.I.3","KO.I.1","KO.I.2","KO.I.3"
"Nlrc5",5.54614756378775,5.15129992585534,4.94635759500067,5.07880159799956,5.22365962284827,5.31894310351493,7.76457526098668,7.62971176715818,7.33644036433465,6.11611836285032,6.57383031075852,6.3368382065934
"Irf7",6.29908588800719,6.49724704659762,6.12042767258423,6.78570199834985,6.70671231379959,6.4954884275335,8.27195969896965,7.78018731724486,8.16405549524128,7.38769909168047,7.36081517569054,7.1202773682381
"Irgm2",6.77119252008577,5.94017340508529,5.87065566674471,6.10679775364491,5.90900304148792,6.168899091911,8.67117247955367,8.14769653057132,7.82855242725693,7.01825343210789,7.30693109011054,7.32383142473769
"Parp14",6.19927864530717,6.09264831696179,5.8019959874302,5.84239072382961,5.8019959874302,5.93403547647661,8.47317215187053,8.02684684648101,7.74492320236507,6.97766225605833,7.14046651736352,6.93122967760642
"Gbp3",7.81397498783757,7.04038717737039,7.09525946416043,7.4554364432774,7.44578452002875,7.30547118481516,10.1144883448861,10.0241973254645,9.89808529683733,9.01376373370446,9.06456668800448,8.85802230780621
"Samhd1",7.13968729925491,6.84160673168937,7.06869408433822,7.08423862799616,7.30334692528783,7.1398575414953,8.38023570942829,8.17484560234257,8.07403619541314,7.37097764424425,7.59899486242907,7.6232830083764
"Cxcl11",5.71968347075982,5.03521488095997,5.12095316593768,5.13844200468048,5.30102787555749,5.33170004514591,6.90002095737029,7.14299300582507,6.84879608188351,5.64004499336727,5.82539286434174,5.83385582457087
"Isg20",5.88370048917569,6.04650458072212,5.74135680503721,5.87384699838345,5.8838339544587,5.78018006971359,7.61962218523767,7.47726895075075,7.33037538723975,6.37871341710706,6.37533487682429,6.36882610959711
"Rsad2",5.74645567454877,5.1596197269291,5.17416324791769,5.21316929392076,5.34021737836796,4.95221770948447,9.23082681096098,8.94206467949585,8.7965017612915,7.0451039466644,7.43858704849485,7.09438446026233
"Zbp1",5.07042902560021,4.88431409519808,4.86934949725445,4.47063300048656,4.85633752020461,4.89992954765633,6.61764930044431,6.62394116995395,6.36482371665683,5.80537349274013,5.86698833709213,5.92583581692295
"Ms4a4b",3.88216866085872,3.68672678680934,3.42031219061865,3.84819373978969,3.59260530150143,3.888548571904,7.73824363231829,7.29819110582395,7.43820928408205,5.31230807183161,6.36058652633248,5.76573468181937
"Iigp1",7.38235303343332,5.65028528309302,6.1336077085098,6.01542821461637,6.11686948349117,6.11570138154688,10.5069392365432,10.1601439853047,9.99455510586534,8.63288057917927,9.19762838595964,8.87831659502791
"Cd274",5.89717148844055,5.5998016496598,5.26301261080041,5.56313327183275,5.56136270825467,5.54396435111822,8.04276944645822,7.72553566892213,7.75777237869437,6.45008510943988,6.85305513938133,6.41693850774559
"Ifi213",4.45673623457024,4.32718921940626,4.15710031061229,4.37463720148047,4.59430041095658,4.53044130106427,5.78100404057485,5.97244049600969,5.20107605304695,4.76365506822185,4.97946040541707,4.94174141976332
"Ms4a4c",3.66194550215552,3.50905562972395,3.48724576129377,3.65500196256642,3.52994985769243,3.71881023717913,7.51649811417278,7.52633881943075,7.30930959878595,4.9419256306844,5.46816527446536,5.34186444783635
"Nmi",6.8884688299334,6.9259593524516,6.89360160478341,6.95105605359509,7.03372434819062,7.02558899844682,8.13705920765734,7.90050800489939,7.97933702299419,7.37822888403985,7.49360735738216,7.3466186897711
